date,time,testing_party,site,subsite,type,body_wave_magnitude,surface_wave_magnitude,explosive_yield,latitude,longitude,purpose,device_type,rock_type,device_position,name,references
560530,,US,ENW,,OWR,,,16.8,,,WR,,,,ERIE,E
560606,,US,ENW,,URF,,,13.7,,,WR,,,,SEMINOLE,E
560611,,US,BKN,,ARG,,,365,,,WR,,,,FLATHEAD,EN
560611,,US,ENW,,OWR,,,8.5,,,WR,,,,BLACKFOO,E
560613,,US,ENW,,OWR,,,1.4,,,WR,,,,KICKAPOO,E
560616,,US,ENW,,IRD,,,1.9,,,WR,,,,OSAGE,E
560619,,GB,MBI,,OWR,,,,,,,,,,,B
560621,,US,ENW,,OWR,,,16,,,WR,,,,INCA,E
560625,,US,BKN,,ARG,,,1000,,,WR,,,,DAKOTA,EN
560702,,US,ENW,,OWR,,,350,,,WR,,,,MOHAWK,EN
560708,,US,ENW,,ARG,,,1900,,,WR,,,,APACHE,EN
560710,,US,BKN,,ARG,,,4500,,,WR,2,,,NAVAJO,EN
560720,,US,BKN,,ARG,,,5000,,,WR,2,,,TEWA,EN
560721,,US,ENW,,ARG,,,270,,,WR,,,,HURON,EN
560824,,CP,,,TMO,,,l1000,,,,,,,,N
560830,,CP,,,TMO,,,g20,,,,,,,,N
560902,,CP,,,TMO,,,,,,,,,,,N
560910,,CP,,,TMO,,,,,,,,,,,N
560927,,GB,MAR,,OWR,,,g100,,,,,,,BUFFALO,B
561004,,GB,MAR,,URF,,,LOW,,,,,,,,B
561011,,GB,MAR,,IRD,,,LOW,,,,,,,,B
561022,,GB,MAR,,OWR,,,g100,,,,,,,,B
561117,,CP,,,TMO,,,,,,,,,,,N
570119,,CP,,,TMO,,,,,,,,,,,N
570308,,CP,,,TMO,,,,,,,,,,,N
570403,,CP,,,TMO,,,,,,,,,,,N
570406,,CP,,,TMO,,,,,,,,,,,N
570410,,CP,,,TMO,,,,,,,,,,,N
570412,,CP,,,TMO,,,,,,,,,,,N
570416,,CP,,,TMO,,,,,,,,,,,N
570515,193700.0,GB,CHR,,IRD,,,F300,,,,2,,,GRAPPLE,B
570528,,US,NTS,,OWR,,,12,,,WR,,,,BOLTZMAN,E
570531,194100.0,GB,CHR,,IRD,,,720,,,,I,,,,B
570602,,US,NTS,,OWR,,,.140,,,WR,,,,FRANKLIN,E
570605,,US,NTS,,ALN,,,.0005,,,WR,,,,LASSEN,E
570618,,US,NTS,,ALN,,,10,,,WR,,,,WILSON,E
570619,194000.0,GB,CHR,,IRD,,,F200,,,,2,,,,B
570624,,US,NTS,,ALN,,,37,,,WR,,,,PRISCILL,E
570705,,US,NTS,,ALN,,,74,,,WR,,,,HOOD,E
570715,,US,NTS,,OWR,,,17,,,WR,,,,DIABLO,E
570719,,US,NTS,,OCH,,,2,,,WE,,,,JOHN,E
570724,,US,NTS,,OWR,,,10,,,WR,,,,KEPLER,E
570725,,US,NTS,,ALN,,,9.7,,,WR,,,,OWENS,E
570807,,US,NTS,,C,,,LIGHT,,,SF,,,,PASCAL-A,E
570807,,US,NTS,,ALN,,,19,,,WR,,,,STOKES,E
570810,,US,NTS,,UNN,,,0,,,SF,,,,SATURN,E
570818,,US,NTS,,OWR,,,17,,,WR,,,,SHASTA,E
570822,,CP,,,,,,HIGH,,,,,,,,N
570823,,US,NTS,,ALN,,,11,,,WR,,,,DOPPLER,E
570827,,US,NTS,,C,,,,,,SF,,,,PASCAL-B,E
570830,,US,NTS,,ALN,,,4.7,,,WR,,,,FRANKLIN,E
570831,,US,NTS,,OWR,,,44,,,WR,,,,SMOKY,E
570902,,US,NTS,,OWR,,,11,,,WR,,,,GALILEO,E
570906,,US,NTS,,ALN,,,.197,,,WR,,,,WHEELER,E
570906,,US,NTS,,URF,,,0.3,,,SF,,,,COLOUMBB,E
570908,,US,NTS,,ALN,,,1,,,WR,,,,LAPLACE,E
570914,,US,NTS,,OWR,,,11,,,WR,,,,FIZEAU,E
570914,053000.0,GB,MAR,,OWR,,,l20,,,,,,,ANTLER,B
570916,,US,NTS,,ALN,,,12,,,WR,,,,NEWTON,E
570919,,US,NTS,,UNN,,,1.7,,,WR,,,,RAINIER,E
570923,,US,NTS,,OWR,,,19,,,WR,,,,WHITNEY,E
570924,,CP,NZ,,,,,g1000,73.000N,055.000E,,,,,,N
570925,003000.0,GB,MAR,,OWR,,,g100,,,,,,,,B
570926,,CP,KTS,,NDW,,,7-70,,,,,,,,N
570928,,US,NTS,,ALN,,,12,,,WR,,,,CHARLEST,E
571006,085800.0,CP,NZ,,TMO,,,HIGH,73.000N,055.000E,,,,,,N
571007,,US,NTS,,ALN,,,8,,,WR,,,,MORGAN,E
571009,073000.0,GB,MAR,,ALN,,,g100,,,,,,,,B
571010,065500.0,CP,NZ,,TMO,,,LOW,,,,,,,,N
571108,174700.0,GB,CHR,,IRD,,,1800,,,,2,,,GRAPPLE,B
571206,,US,NTS,,C,,,LIGHT,,,SF,,,,PASCAL-C,E
